burst,frame_slot,magnitude_packed_px
000_0324,1,0.3125
000_0324,2,0.25
000_0324,3,0.08838834764831845
000_0324,4,0.3125
000_0324,5,0.7603453162872774
000_0324,6,0.2576941016011038
000_0324,7,0.19764235376052372
000_0324,8,0.4375
000_0324,9,0.3644344934278313
000_0324,10,0.125
000_0324,11,0.1875
000_0324,12,0.5038911092686593
000_0324,13,0.13975424859373686
000_0326,1,0.3801726581436387
000_0326,2,0.1875
000_0326,3,0.22534695471649932
000_0326,4,0.8772293029761374
000_0326,5,1.1057378758096332
000_0326,6,0.8125
000_0326,7,0.5590169943749475
000_0326,8,0.125
000_0326,9,0.9560661587986472
000_0326,10,0.625
000_0326,11,0.125
000_0326,12,0.13975424859373686
000_0326,13,0.3801726581436387
000_0327,1,0.19764235376052372
000_0327,2,0.22534695471649932
000_0327,3,0.25
000_0327,4,0.3365728004459065
000_0327,5,0.39528470752104744
000_0327,6,0.4375
000_0327,7,0.6903350635742038
000_0327,8,0.8408515029421069
000_0327,9,0.7126096406869612
000_0327,10,0.9540210951546092
000_0327,11,0.0625
000_0327,12,1.626201478907211
000_0327,13,1.034559084827928
000_0329,1,0.0625
000_0329,2,0.4419417382415922
000_0329,3,0.5896238207535377
000_0329,4,0.4419417382415922
000_0329,5,0.3125
000_0329,6,0.5038911092686593
000_0329,7,0.13975424859373686
000_0329,8,0.2576941016011038
000_0329,9,0.2576941016011038
000_0329,10,0.5590169943749475
000_0329,11,0.22534695471649932
000_0329,12,0.13975424859373686
000_0329,13,0.5590169943749475
000_0330,1,0.8220591523728691
000_0330,2,0.7288689868556626
000_0330,3,0.25
000_0330,4,0.9395810236483068
000_0330,5,0.8838834764831844
000_0330,6,0.8125
000_0330,7,0.75
000_0330,8,0.125
000_0330,9,1.0643366478704002
000_0330,10,0.8125
000_0330,11,0.4375
000_0330,12,0.22534695471649932
000_0330,13,0.8838834764831844
000_0331,1,0.3125
000_0331,2,0.3644344934278313
000_0331,3,0.5762215285808054
000_0331,4,0.7551903733496608
000_0331,5,1.0789172813520043
000_0331,6,1.5129648046137756
000_0331,7,1.0752906583803283
000_0331,8,0.5762215285808054
000_0331,9,1.174268389253496
000_0331,10,0.9457966219013473
000_0331,11,0.6525191568069094
000_0331,12,1.288470508005519
000_0331,13,0.8682777493406127
000_0332,1,0.2576941016011038
000_0332,2,0.6434768838116876
000_0332,3,0.9882117688026185
000_0332,4,0.13975424859373686
000_0332,5,0.8149003006503311
000_0332,6,0.19764235376052372
000_0332,7,1.1524430571616109
000_0332,8,0.7730823048033113
000_0332,9,1.4045128158902644
000_0332,10,0.5340002340823456
000_0332,11,0.9519716382329886
000_0332,12,0.5376453291901642
000_0332,13,1.194060823408925
000_0333,1,0.5896238207535377
000_0333,2,0.8003905296791061
000_0333,3,0.6281172263200556
000_0333,4,0.4419417382415922
000_0333,5,0.13975424859373686
000_0333,6,0.5153882032022076
000_0333,7,0.5762215285808054
000_0333,8,0.3801726581436387
000_0333,9,0.25
000_0333,10,0.3125
000_0333,11,0.31868871959954903
000_0333,12,1.0174262872562316
000_0333,13,1.0402073110683274
000_0221,1,0.4192627457812106
000_0221,2,0.6525191568069094
000_0221,3,0.6903350635742038
000_0221,4,0.125
000_0221,5,0.3365728004459065
000_0221,6,0.2795084971874737
000_0221,7,1.0097184013377194
000_0221,8,0.7126096406869612
000_0221,9,0.19764235376052372
000_0221,10,0.7126096406869612
000_0221,11,0.125
000_0221,12,0.9100137361600648
000_0221,13,0.08838834764831845
000_0222,1,0.22534695471649932
000_0222,2,0.3125
000_0222,3,0.6987712429686843
000_0222,4,0.5038911092686593
000_0222,5,0.19764235376052372
000_0222,6,0.4550068680800324
000_0222,7,0.5659615711335886
000_0222,8,0.0625
000_0222,9,0.0625
000_0222,10,0.7288689868556626
000_0222,11,0.4419417382415922
000_0222,12,0.25
000_0222,13,0.3125
000_0226,1,0.7315437444199766
000_0226,2,0.4375
000_0226,3,0.2795084971874737
000_0226,4,0.13975424859373686
000_0226,5,0.2576941016011038
000_0226,6,0.0625
000_0226,7,0.13975424859373686
000_0226,8,0.8149003006503311
000_0226,9,0.6434768838116876
000_0226,10,0.40019526483955303
000_0226,11,0.08838834764831845
000_0226,12,0.2795084971874737
000_0226,13,0.125
000_0233,1,1.845602882529175
000_0233,2,1.5129648046137756
000_0233,3,1.288470508005519
000_0233,4,1.1319231422671772
000_0233,5,1.3287682265918312
000_0233,6,1.2655285457072867
000_0233,7,0.08838834764831845
000_0233,8,0.2651650429449553
000_0233,9,1.2405895775799505
000_0233,10,1.2405895775799505
000_0233,11,1.3287682265918312
000_0233,12,1.231107225224513
000_0233,13,0.9702609185162515
000_0234,1,1.5524677935467777
000_0234,2,1.505199322349037
000_0234,3,2.0775962673243327
000_0234,4,2.063446752402397
000_0234,5,2.063446752402397
000_0234,6,2.2577989835235552
000_0234,7,2.2534695471649933
000_0234,8,2.24391538387703
000_0234,9,1.5625
000_0234,10,2.7507101355831733
000_0234,11,1.6441183047457382
000_0234,12,1.9970681635838072
